79484
Matches	Search_type	jot_city	geo_name_city	lat	lon	dist_from_first	geonameid
(3)	EQ:	blomberg	blomberg	53.576780	7.558240	209.140668km	2947646
(7)	EQ:	rottenbach	rottenbach	50.687820	11.166740	0.000000km	2843738
(7)	EQ:	rottenbach	rottenbach	50.400000	11.266670	32.791155km	2843739
(7)	EQ:	rottenbach	rottenbach	50.380300	10.926050	38.228310km	2843740
(7)	EQ:	rottenbach	rottenbach	49.664290	10.926070	115.140287km	2843741
(7)	EQ:	rottenbach	rottenbach	49.260540	10.372360	168.668929km	2843742
(7)	EQ:	rottenbach	rottenbach	49.150000	11.033330	171.315897km	2843743
(7)	EQ:	rottenbach	rottenbach	49.137790	10.578040	177.513569km	2843744
(1)	EQ:	kusterdingen	kusterdingen	48.522910	9.119770	0.000000km	2882237
(0)	No match: bad duben
(1)	EQ:	langenselbold	langenselbold	50.176570	9.040030	0.000000km	2880913
(1)	EQ:	grafenwohr	grafenwohr	49.717280	11.906450	0.000000km	2918258
(2)	EQ:	monsheim	monsheim	49.637220	8.211940	0.000000km	2869751
(2)	EQ:	monsheim	monsheim	48.866670	8.866670	98.059700km	2869752
(1)	EQ:	eitorf	eitorf	50.766670	7.450000	0.000000km	2931361
(1)	EQ:	bad marienberg	bad marienberg	50.649470	7.949580	0.000000km	2953404
(1)	EQ:	zell im wiesental	zell im wiesental	47.705550	7.852480	0.000000km	2804810
(1)	EQ:	weil im schonbuch	weil im schonbuch	48.622700	9.063550	0.000000km	2812502
(2)	EQ:	grafenau	grafenau	48.857680	13.397400	0.000000km	2918365
(2)	EQ:	grafenau	grafenau	48.714270	8.912190	329.932356km	11670103
(1)	EQ:	lommatzsch	lommatzsch	51.195370	13.309170	0.000000km	2876009
(6)	EQ:	erlau	erlau	51.009380	12.945490	0.000000km	2929557
(6)	EQ:	erlau	erlau	50.541550	10.751900	163.237372km	2929558
(6)	EQ:	erlau	erlau	49.873550	10.800210	197.944183km	2929559
(6)	EQ:	erlau	erlau	48.829670	10.111240	316.508136km	2929560
(6)	EQ:	erlau	erlau	48.563980	13.578130	275.775498km	2929561
(6)	EQ:	erlau	erlau	48.439150	11.761890	298.326962km	2929562
(2)	EQ:	kirn	kirn	49.789120	7.457650	0.000000km	2890314
(2)	EQ:	kirn	kirn	48.339150	13.085510	441.615222km	2890315
(1)	EQ:	heustreu	heustreu	50.354850	10.260690	0.000000km	2904986
(1)	EQ:	kraichtal	kraichtal	49.146230	8.732760	0.000000km	11670105
(19)	EQ:	stein	stein	49.415810	11.015990	0.000000km	2828685
(19)	EQ:	stein	stein	54.416670	10.266670	558.798293km	2828929
(19)	EQ:	stein	stein	50.953920	12.818410	214.094188km	2828930
(19)	EQ:	stein	stein	50.866670	7.333330	308.730386km	2828931
(19)	EQ:	stein	stein	50.733700	7.465280	293.371163km	2828932
(19)	EQ:	stein	stein	50.650310	12.661720	180.981932km	2828933
