79484
Matches	Search_type	jot_city	geo_name_city	lat	lon	dist_from_first	geonameid
(10)<3>	EQ:	hohenstein	P	hohenstein	50.215600	10.933390	453.226018km	2901430
(10)<3>	EQ:	hohenstein	P	hohenstein	49.587180	11.423810	524.759887km	2901432
(10)<3>	EQ:	hohenstein	P	hohenstein	49.040080	9.120550	595.362494km	2901433
(10)<3>	EQ:	hohenstein	P	hohenstein	48.447960	9.864820	653.009263km	2901434
(10)<3>	EQ:	hohenstein	P	hohenstein	48.210180	8.615750	693.149761km	2901454
(10)<3>	EQ:	hohenstein	P	hohenstein	50.802880	12.706920	408.665963km	8629484
(10)<3>	EQ:	hohenstein	P	hohenstein	48.332260	9.332590	670.468449km	11073559
(10)<3>	EQ:	hohenstein	A	hohenstein	50.193990	8.096750	491.593578km	2901431
(10)<3>	EQ:	hohenstein	A	hohenstein	48.340300	9.359870	669.296104km	3209448
(10)<3>	EQ:	hohenstein	A	hohenstein	51.538760	10.572910	306.344812km	6549861
(1)<0>	EQ:	schutterwald	P	schutterwald	48.450000	7.883330	0.000000km	2835596
(1)<0>	EQ:	hahn bei marienberg	P	hahn bei marienberg	50.632780	7.941110	0.000000km	2912347
(1)<0>	EQ:	bollendorf	P	bollendorf	49.852680	6.357950	0.000000km	2946657
(1)<0>	EQ:	alpen	P	alpen	51.583330	6.516670	0.000000km	2958188
(1)<0>	EQ:	munsingen	P	munsingen	48.411260	9.497040	0.000000km	2867560
(1)<0>	EQ:	scheessel	P	scheessel	53.166670	9.483330	0.000000km	2840070
(1)<0>	EQ:	weisenheim am sand	P	weisenheim am sand	49.518060	8.247780	0.000000km	2812084
(0)<0>	No match: selters(westerwald)
(0)<1>	No match:	dautphetal	A	dautphetal	50.850000	8.516670	149.394362km	3208034
(2)<0>	EQ:	turkheim	P	turkheim	48.584900	9.803150	0.000000km	2820751
(2)<0>	EQ:	turkheim	P	turkheim	48.064010	10.641560	84.971895km	2820752
(1)<0>	EQ:	roetgen	P	roetgen	50.650000	6.200000	0.000000km	2844277
(10)<2>	EQ:	seefeld	P	seefeld	54.099770	9.493100	0.000000km	2833859
(10)<2>	EQ:	seefeld	P	seefeld	53.847460	10.370440	64.052609km	2833860
(10)<2>	EQ:	seefeld	P	seefeld	53.753560	11.269260	122.872273km	2833861
(10)<2>	EQ:	seefeld	P	seefeld	53.451420	10.156780	84.390127km	2833862
(10)<2>	EQ:	seefeld	P	seefeld	53.458160	8.363450	103.173888km	2833863
(10)<2>	EQ:	seefeld	P	seefeld	53.092890	12.192760	210.943466km	2833864
(10)<2>	EQ:	seefeld	P	seefeld	52.622430	13.680120	323.553677km	2833865
(10)<2>	EQ:	seefeld	P	seefeld	48.035050	11.213950	685.338127km	2833866
(10)<2>	EQ:	seefeld	P	seefeld	47.866670	9.433330	693.430891km	2833867
(10)<2>	EQ:	seefeld	P	seefeld	47.849510	10.247940	697.333340km	2833868
(10)<2>	EQ:	seefeld	A	seefeld	54.103480	9.497370	0.498548km	6551918
(10)<2>	EQ:	seefeld	A	seefeld	48.033300	11.200000	685.359585km	6556390
(1)<0>	EQ:	petersaurach	P	petersaurach	49.300000	10.750000	0.000000km	2854737
(2)<1>	EQ:	lilienthal	A	lilienthal	53.165700	8.929320	3.163742km	6552706
(5)<1>	EQ:	boll	A	boll	48.643710	9.613170	0.022477km	6555454
(0)<0>	No match: kirchheim bei munchen
(1)<0>	EQ:	algermissen	P	algermissen	52.253320	9.969150	0.000000km	2958509
(2)<1>	EQ:	niedernhausen	A	niedernhausen	50.169380	8.296750	1.380004km	6553201
(1)<0>	EQ:	grosshansdorf	P	grosshansdorf	53.666670	10.283330	0.000000km	2915556
(18)<2>	EQ:	sulzbach	P	sulzbach	48.514680	8.152960	0.000000km	2824831
(18)<2>	EQ:	sulzbach	P	sulzbach	48.247150	8.201450	29.964783km	2824832
(18)<2>	EQ:	sulzbach	P	sulzbach	47.754690	12.744090	351.954979km	2824833
(18)<2>	EQ:	sulzbach	P	sulzbach	51.003280	11.486890	366.420630km	2824834
(18)<2>	EQ:	sulzbach	P	sulzbach	50.302550	7.752310	200.956347km	2824835
(18)<2>	EQ:	sulzbach	P	sulzbach	50.162710	10.594700	255.087872km	2824836
(18)<2>	EQ:	sulzbach	P	sulzbach	50.133960	8.527970	182.140867km	2824837
(18)<2>	EQ:	sulzbach	P	sulzbach	49.833330	7.333330	158.358900km	2824838
(18)<2>	EQ:	sulzbach	P	sulzbach	49.579080	8.658620	124.009303km	2824839
(18)<2>	EQ:	sulzbach	P	sulzbach	49.350010	9.220780	121.451589km	2824840
(18)<2>	EQ:	sulzbach	P	sulzbach	49.298820	7.056960	118.571254km	2824841
(18)<2>	EQ:	sulzbach	P	sulzbach	49.147040	9.340060	111.986101km	2824842
(18)<2>	EQ:	sulzbach	P	sulzbach	49.119710	12.347830	315.284776km	2824843
(18)<2>	EQ:	sulzbach	P	sulzbach	48.898440	8.367860	45.512398km	2824844
(18)<2>	EQ:	sulzbach	P	sulzbach	48.806860	8.361020	35.925046km	2824845
(18)<2>	EQ:	sulzbach	P	sulzbach	48.536980	11.475800	245.430988km	2824846
(18)<2>	EQ:	sulzbach	P	sulzbach	48.429140	11.085570	217.038905km	2824847
(18)<2>	EQ:	sulzbach	P	sulzbach	48.424180	8.446400	23.918739km	2824848
